"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","correct"
"1845","Welcome to the experiment. Press any key to begin.","70","html-keyboard-response","0","1850","0.0-0.0","","",""
"495","<p>In this experiment, a circle will appear in the center of the screen.</p><p>If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can.</p><p>If the circle is <strong>orange</strong>, press the letter J as fast as you can.</p><div style='width: 700px;'><div style='float: left;'><img src='img/blue.png'></img><p class='small'><strong>Press the F key</strong></p></div><div class='float: right;'><img src='img/orange.png'></img><p class='small'><strong>Press the J key</strong></p></div></div><p>Press any key to begin.</p>","70","html-keyboard-response","1","2347","0.0-1.0","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","5851","0.0-2.0-0.0","fixation","",""
"186","img/orange.png","70","image-keyboard-response","3","6040","0.0-2.0-1.0","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","8042","0.0-2.0-0.1","fixation","",""
"378","img/blue.png","70","image-keyboard-response","5","8421","0.0-2.0-1.1","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","10424","0.0-2.0-0.2","fixation","",""
"680","img/blue.png","70","image-keyboard-response","7","11105","0.0-2.0-1.2","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","12357","0.0-2.0-0.3","fixation","",""
"448","img/orange.png","70","image-keyboard-response","9","12806","0.0-2.0-1.3","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","14558","0.0-2.0-0.4","fixation","",""
"280","img/blue.png","70","image-keyboard-response","11","14839","0.0-2.0-1.4","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","15841","0.0-2.0-0.5","fixation","",""
"348","img/orange.png","70","image-keyboard-response","13","16191","0.0-2.0-1.5","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","18193","0.0-2.0-0.6","fixation","",""
"376","img/orange.png","70","image-keyboard-response","15","18570","0.0-2.0-1.6","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","18834","0.0-2.0-0.7","fixation","",""
"694","img/blue.png","70","image-keyboard-response","17","19529","0.0-2.0-1.7","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","20031","0.0-2.0-0.8","fixation","",""
"391","img/orange.png","70","image-keyboard-response","19","20424","0.0-2.0-1.8","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","21176","0.0-2.0-0.9","fixation","",""
"354","img/blue.png","70","image-keyboard-response","21","21531","0.0-2.0-1.9","test","f","true"
"1199","<p>You responded correctly on 50% of the trials.</p><p>Your average response time was 477ms.</p><p>Press any key to complete the experiment. Thank you!</p>","70","html-keyboard-response","22","22732","0.0-3.0","","",""
