"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","correct"
"2327","Welcome to the experiment. Press any key to begin.","70","html-keyboard-response","0","2340","0.0-0.0","","",""
"478","<p>In this experiment, a circle will appear in the center of the screen.</p><p>If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can.</p><p>If the circle is <strong>orange</strong>, press the letter J as fast as you can.</p><div style='width: 700px;'><div style='float: left;'><img src='img/blue.png'></img><p class='small'><strong>Press the F key</strong></p></div><div class='float: right;'><img src='img/orange.png'></img><p class='small'><strong>Press the J key</strong></p></div></div><p>Press any key to begin.</p>","70","html-keyboard-response","1","2821","0.0-1.0","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","5326","0.0-2.0-0.0","fixation","",""
"2766","img/orange.png","70","image-keyboard-response","3","8095","0.0-2.0-1.0","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","9096","0.0-2.0-0.1","fixation","",""
"427","img/blue.png","70","image-keyboard-response","5","9526","0.0-2.0-1.1","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","9777","0.0-2.0-0.2","fixation","",""
"886","img/blue.png","70","image-keyboard-response","7","10666","0.0-2.0-1.2","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","11918","0.0-2.0-0.3","fixation","",""
"470","img/orange.png","70","image-keyboard-response","9","12389","0.0-2.0-1.3","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","14391","0.0-2.0-0.4","fixation","",""
"307","img/orange.png","70","image-keyboard-response","11","14699","0.0-2.0-1.4","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","15703","0.0-2.0-0.5","fixation","",""
"466","img/blue.png","70","image-keyboard-response","13","16171","0.0-2.0-1.5","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","16673","0.0-2.0-0.6","fixation","",""
"613","img/orange.png","70","image-keyboard-response","15","17288","0.0-2.0-1.6","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","19041","0.0-2.0-0.7","fixation","",""
"1957","img/blue.png","70","image-keyboard-response","17","20999","0.0-2.0-1.7","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","22501","0.0-2.0-0.8","fixation","",""
"328","img/orange.png","74","image-keyboard-response","19","22831","0.0-2.0-1.8","test","j","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","24333","0.0-2.0-0.9","fixation","",""
"183","img/blue.png","74","image-keyboard-response","21","24517","0.0-2.0-1.9","test","f","false"
"875","<p>You responded correctly on 50% of the trials.</p><p>Your average response time was 813ms.</p><p>Press any key to complete the experiment. Thank you!</p>","74","html-keyboard-response","22","25393","0.0-3.0","","",""
