"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","correct"
"1284","Welcome to the experiment. Press any key to begin.","70","html-keyboard-response","0","1290","0.0-0.0","","",""
"632","<p>In this experiment, a circle will appear in the center of the screen.</p><p>If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can.</p><p>If the circle is <strong>orange</strong>, press the letter J as fast as you can.</p><div style='width: 700px;'><div style='float: left;'><img src='img/blue.png'></img><p class='small'><strong>Press the F key</strong></p></div><div class='float: right;'><img src='img/orange.png'></img><p class='small'><strong>Press the J key</strong></p></div></div><p>Press any key to begin.</p>","70","html-keyboard-response","1","1925","0.0-1.0","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","4928","0.0-2.0-0.0","fixation","",""
"430","img/blue.png","70","image-keyboard-response","3","5361","0.0-2.0-1.0","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","6864","0.0-2.0-0.1","fixation","",""
"386","img/orange.png","70","image-keyboard-response","5","7251","0.0-2.0-1.1","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","8503","0.0-2.0-0.2","fixation","",""
"394","img/orange.png","70","image-keyboard-response","7","8898","0.0-2.0-1.2","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","10650","0.0-2.0-0.3","fixation","",""
"277","img/blue.png","70","image-keyboard-response","9","10929","0.0-2.0-1.3","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","12683","0.0-2.0-0.4","fixation","",""
"368","img/blue.png","70","image-keyboard-response","11","13052","0.0-2.0-1.4","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","13804","0.0-2.0-0.5","fixation","",""
"488","img/orange.png","70","image-keyboard-response","13","14295","0.0-2.0-1.5","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","15798","0.0-2.0-0.6","fixation","",""
"408","img/orange.png","70","image-keyboard-response","15","16207","0.0-2.0-1.6","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","17459","0.0-2.0-0.7","fixation","",""
"514","img/blue.png","70","image-keyboard-response","17","17974","0.0-2.0-1.7","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","19726","0.0-2.0-0.8","fixation","",""
"440","img/orange.png","70","image-keyboard-response","19","20168","0.0-2.0-1.8","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","21671","0.0-2.0-0.9","fixation","",""
"346","img/blue.png","70","image-keyboard-response","21","22018","0.0-2.0-1.9","test","f","true"
"927","<p>You responded correctly on 50% of the trials.</p><p>Your average response time was 387ms.</p><p>Press any key to complete the experiment. Thank you!</p>","70","html-keyboard-response","22","22948","0.0-3.0","","",""
