"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","correct"
"6274","Welcome to the experiment. Press any key to begin.","70","html-keyboard-response","0","6282","0.0-0.0","","",""
"1158","<p>In this experiment, a circle will appear in the center of the screen.</p><p>If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can.</p><p>If the circle is <strong>orange</strong>, press the letter J as fast as you can.</p><div style='width: 700px;'><div style='float: left;'><img src='img/blue.png'></img><p class='small'><strong>Press the F key</strong></p></div><div class='float: right;'><img src='img/orange.png'></img><p class='small'><strong>Press the J key</strong></p></div></div><p>Press any key to begin.</p>","70","html-keyboard-response","1","7442","0.0-1.0","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","10696","0.0-2.0-0.0","fixation","",""
"2137","img/orange.png","70","image-keyboard-response","3","12835","0.0-2.0-1.0","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","14588","0.0-2.0-0.1","fixation","",""
"389","img/blue.png","70","image-keyboard-response","5","14977","0.0-2.0-1.1","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","15479","0.0-2.0-0.2","fixation","",""
"667","img/orange.png","70","image-keyboard-response","7","16149","0.0-2.0-1.2","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","16400","0.0-2.0-0.3","fixation","",""
"697","img/blue.png","70","image-keyboard-response","9","17098","0.0-2.0-1.3","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","19101","0.0-2.0-0.4","fixation","",""
"1027","img/blue.png","70","image-keyboard-response","11","20129","0.0-2.0-1.4","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","20630","0.0-2.0-0.5","fixation","",""
"406","img/orange.png","70","image-keyboard-response","13","21037","0.0-2.0-1.5","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","22289","0.0-2.0-0.6","fixation","",""
"689","img/orange.png","70","image-keyboard-response","15","22979","0.0-2.0-1.6","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","24983","0.0-2.0-0.7","fixation","",""
"833","img/blue.png","70","image-keyboard-response","17","25817","0.0-2.0-1.7","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","26068","0.0-2.0-0.8","fixation","",""
"677","img/blue.png","70","image-keyboard-response","19","26746","0.0-2.0-1.8","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","27999","0.0-2.0-0.9","fixation","",""
"434","img/orange.png","70","image-keyboard-response","21","28434","0.0-2.0-1.9","test","j","false"
"1110","<p>You responded correctly on 50% of the trials.</p><p>Your average response time was 725ms.</p><p>Press any key to complete the experiment. Thank you!</p>","70","html-keyboard-response","22","29545","0.0-3.0","","",""
