"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","correct"
"559","Welcome to the experiment. Press any key to begin.","70","html-keyboard-response","0","564","0.0-0.0","","",""
"435","<p>In this experiment, a circle will appear in the center of the screen.</p><p>If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can.</p><p>If the circle is <strong>orange</strong>, press the letter J as fast as you can.</p><div style='width: 700px;'><div style='float: left;'><img src='img/blue.png'></img><p class='small'><strong>Press the F key</strong></p></div><div class='float: right;'><img src='img/orange.png'></img><p class='small'><strong>Press the J key</strong></p></div></div><p>Press any key to begin.</p>","70","html-keyboard-response","1","1001","0.0-1.0","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","3255","0.0-2.0-0.0","fixation","",""
"467","img/orange.png","70","image-keyboard-response","3","3726","0.0-2.0-1.0","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","4978","0.0-2.0-0.1","fixation","",""
"238","img/blue.png","70","image-keyboard-response","5","5217","0.0-2.0-1.1","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","6219","0.0-2.0-0.2","fixation","",""
"292","img/blue.png","70","image-keyboard-response","7","6512","0.0-2.0-1.2","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","7764","0.0-2.0-0.3","fixation","",""
"62","img/orange.png","70","image-keyboard-response","9","7828","0.0-2.0-1.3","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","9829","0.0-2.0-0.4","fixation","",""
"865","img/blue.png","70","image-keyboard-response","11","10695","0.0-2.0-1.4","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","11197","0.0-2.0-0.5","fixation","",""
"438","img/orange.png","70","image-keyboard-response","13","11635","0.0-2.0-1.5","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","12388","0.0-2.0-0.6","fixation","",""
"304","img/orange.png","70","image-keyboard-response","15","12694","0.0-2.0-1.6","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","13946","0.0-2.0-0.7","fixation","",""
"432","img/blue.png","70","image-keyboard-response","17","14379","0.0-2.0-1.7","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","14631","0.0-2.0-0.8","fixation","",""
"378","img/orange.png","70","image-keyboard-response","19","15011","0.0-2.0-1.8","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","16012","0.0-2.0-0.9","fixation","",""
"405","img/blue.png","70","image-keyboard-response","21","16418","0.0-2.0-1.9","test","f","true"
"773","<p>You responded correctly on 50% of the trials.</p><p>Your average response time was 446ms.</p><p>Press any key to complete the experiment. Thank you!</p>","70","html-keyboard-response","22","17193","0.0-3.0","","",""
