"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","correct"
"3770","Welcome to the experiment. Press any key to begin.","13","html-keyboard-response","0","3773","0.0-0.0","","",""
"2304","<p>In this experiment, a circle will appear in the center of the screen.</p><p>If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can.</p><p>If the circle is <strong>orange</strong>, press the letter J as fast as you can.</p><div style='width: 700px;'><div style='float: left;'><img src='img/blue.png'></img><p class='small'><strong>Press the F key</strong></p></div><div class='float: right;'><img src='img/orange.png'></img><p class='small'><strong>Press the J key</strong></p></div></div><p>Press any key to begin.</p>","13","html-keyboard-response","1","6079","0.0-1.0","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","10083","0.0-2.0-0.0","fixation","",""
"855","img/orange.png","74","image-keyboard-response","3","10940","0.0-2.0-1.0","test","j","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","11692","0.0-2.0-0.1","fixation","",""
"551","img/blue.png","74","image-keyboard-response","5","12243","0.0-2.0-1.1","test","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","14245","0.0-2.0-0.2","fixation","",""
"18519","img/orange.png","70","image-keyboard-response","7","32764","0.0-2.0-1.2","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","34267","0.0-2.0-0.3","fixation","",""
"355","img/blue.png","70","image-keyboard-response","9","34623","0.0-2.0-1.3","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","36125","0.0-2.0-0.4","fixation","",""
"372","img/blue.png","70","image-keyboard-response","11","36499","0.0-2.0-1.4","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","36751","0.0-2.0-0.5","fixation","",""
"602","img/orange.png","70","image-keyboard-response","13","37353","0.0-2.0-1.5","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","37855","0.0-2.0-0.6","fixation","",""
"623","img/orange.png","70","image-keyboard-response","15","38479","0.0-2.0-1.6","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","39482","0.0-2.0-0.7","fixation","",""
"482","img/blue.png","70","image-keyboard-response","17","39964","0.0-2.0-1.7","test","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","40216","0.0-2.0-0.8","fixation","",""
"721","img/orange.png","70","image-keyboard-response","19","40938","0.0-2.0-1.8","test","j","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","42690","0.0-2.0-0.9","fixation","",""
"514","img/blue.png","70","image-keyboard-response","21","43204","0.0-2.0-1.9","test","f","true"
"2398","<p>You responded correctly on 50% of the trials.</p><p>Your average response time was 516ms.</p><p>Press any key to complete the experiment. Thank you!</p>","70","html-keyboard-response","22","45604","0.0-3.0","","",""
